date,CHUBU,"CHUGOKU, SHIKOKU",HOKKAIDO,KANTO,KINKI,"KYUSHU, OKINAWA.",NEAR JAPAN,TOHOKU
2007-09-01,131786.50000000012,79252.50000000007,169527.6999999999,233852.39999999985,118792.80000000002,299747.49999999965,67682.90000000002,208389.99999999994
2007-10-01,133365.00000000012,79729.10000000008,170839.8999999999,235582.99999999985,119600.60000000002,301819.19999999966,68289.60000000002,210032.29999999993
2007-11-01,134718.4000000001,80186.20000000008,172017.8999999999,237046.39999999985,120478.40000000002,303789.69999999966,68851.00000000001,211467.29999999993
2007-12-01,136271.8000000001,80629.60000000008,173250.7999999999,238517.89999999985,121328.60000000002,305666.3999999997,69470.90000000001,213114.19999999992
2008-01-01,137956.00000000012,81132.10000000008,174410.0999999999,239988.99999999985,122137.60000000002,307540.5999999997,70022.8,214699.4999999999
2008-02-01,139035.50000000012,81554.00000000007,175573.89999999988,241284.89999999985,122878.10000000002,309125.7999999997,70538.90000000001,216167.19999999992
2008-03-01,140614.4000000001,81988.40000000007,176911.5999999999,242751.19999999984,123655.20000000003,311181.8999999997,71201.6,217864.4999999999
2008-04-01,141945.50000000012,82457.00000000007,178172.99999999988,244260.09999999983,124480.30000000003,313324.49999999965,71939.3,219402.19999999992
2008-05-01,143200.9000000001,82942.30000000008,179396.79999999987,248361.69999999984,125319.40000000004,315790.0999999996,72642.3,221279.29999999993
2008-06-01,144450.4000000001,83437.20000000007,180773.19999999987,250224.69999999984,126179.30000000003,317923.29999999964,73331.7,231905.19999999995
2008-07-01,145691.3000000001,83854.80000000008,182143.39999999988,251981.39999999985,127058.30000000003,320362.79999999964,74201.8,238153.09999999995
2008-08-01,146868.4000000001,84332.70000000007,183413.29999999987,253546.29999999984,127982.40000000004,323007.79999999964,74886.5,242057.09999999995
2008-09-01,148039.8000000001,84752.00000000007,185154.69999999987,255213.19999999984,128750.40000000004,325084.0999999996,75399.8,245480.79999999993
2008-10-01,149110.6000000001,85190.80000000008,186392.99999999985,256790.09999999983,129586.00000000004,327200.0999999996,75999.1,249185.89999999994
2008-11-01,150221.3000000001,85672.00000000007,187551.49999999985,258239.99999999983,130411.50000000004,329318.49999999965,76534.0,252114.39999999994
2008-12-01,151255.2000000001,86125.80000000008,188840.79999999984,260244.39999999982,131212.20000000004,331329.19999999966,77099.9,255586.69999999992
2009-01-01,152233.8000000001,86589.40000000008,190055.19999999984,261940.1999999998,132081.20000000004,333363.99999999965,77675.29999999999,258389.59999999992
2009-02-01,153079.7000000001,87039.20000000008,191284.69999999984,263736.6999999998,133214.30000000005,335192.0999999996,78150.49999999999,260711.29999999993
2009-03-01,154101.5000000001,87531.80000000009,192501.09999999983,265298.5999999998,134156.80000000005,337338.8999999996,78801.39999999998,263058.49999999994
2009-04-01,155051.7000000001,88016.4000000001,193741.49999999983,266705.7999999998,135065.00000000006,340332.4999999996,79887.39999999998,265423.49999999994
2009-05-01,156167.5000000001,88474.6000000001,195010.7999999998,268210.69999999984,135988.00000000006,342984.7999999996,80582.09999999998,268034.0999999999
2009-06-01,157108.7000000001,88975.00000000009,196378.6999999998,270137.2999999998,136849.00000000006,346001.2999999996,81444.19999999998,270611.4999999999
2009-07-01,158057.1000000001,89445.80000000009,197664.9999999998,271652.69999999984,137674.10000000006,348920.59999999957,82207.09999999998,273016.3999999999
2009-08-01,161101.7000000001,89938.4000000001,198915.29999999978,273425.39999999985,138504.60000000006,353870.9999999996,83037.29999999997,275483.3999999999
2009-09-01,162307.8000000001,90426.30000000009,200284.29999999978,274809.69999999984,139315.20000000007,359846.6999999996,83570.19999999997,277649.3999999999
2009-10-01,163561.8000000001,90857.20000000008,201467.59999999977,276339.89999999985,140155.10000000006,363277.2999999996,84135.29999999997,279985.3999999999
2009-11-01,164601.7000000001,91236.50000000009,202763.69999999978,277601.19999999984,141074.80000000008,366022.89999999956,84656.69999999997,282022.9999999999
2009-12-01,165684.9000000001,91649.50000000009,204266.3999999998,284011.09999999986,141931.80000000008,368885.59999999957,85375.49999999997,284190.59999999986
2010-01-01,166617.60000000012,92063.70000000008,205489.19999999978,285632.39999999985,142772.0000000001,372705.69999999955,85914.39999999997,286490.89999999985
2010-02-01,167415.60000000012,92434.20000000008,206607.59999999977,286836.19999999984,143498.80000000008,376915.09999999957,86577.99999999997,288841.89999999985
2010-03-01,168342.20000000013,92871.00000000009,207845.99999999977,288352.19999999984,144348.70000000007,381811.39999999956,87420.09999999998,291352.89999999985
2010-04-01,169252.10000000012,93272.80000000009,209100.49999999977,289708.4999999998,145139.70000000007,384868.59999999957,88151.29999999997,293517.9999999998
2010-05-01,170350.4000000001,93714.1000000001,210229.49999999977,291087.19999999984,145925.60000000006,390152.7999999996,88862.29999999997,295713.9999999998
2010-06-01,171215.3000000001,94137.4000000001,211559.99999999977,292544.69999999984,146647.50000000006,393664.7999999996,90171.09999999998,298414.7999999998
2010-07-01,172062.50000000012,94525.7000000001,212823.29999999976,294130.2999999998,147509.30000000005,396839.39999999956,91091.59999999998,302226.3999999998
2010-08-01,173033.00000000012,94985.1000000001,214132.49999999977,295696.5999999998,148345.60000000003,400112.09999999957,91962.69999999998,305966.1999999998
2010-09-01,173959.00000000012,95504.30000000009,215541.49999999977,297063.0999999998,149169.90000000002,403597.19999999955,92895.99999999999,309436.0999999998
2010-10-01,174952.10000000012,96016.6000000001,216842.69999999978,298577.3999999998,150027.30000000002,406594.0999999995,93672.39999999998,313262.99999999977
